gene_stable_id,gene_type,gene_name,hgnc_name,hgnc_id
ENSG00000210049,Mt_tRNA,MT-TF,MT-TF,HGNC:7481
ENSG00000211459,Mt_rRNA,MT-RNR1,MT-RNR1,HGNC:7470
ENSG00000210077,Mt_tRNA,MT-TV,MT-TV,HGNC:7500
ENSG00000210082,Mt_rRNA,MT-RNR2,MT-RNR2,HGNC:7471
ENSG00000209082,Mt_tRNA,MT-TL1,MT-TL1,HGNC:7490
ENSG00000198888,protein_coding,MT-ND1,MT-ND1,HGNC:7455
ENSG00000210100,Mt_tRNA,MT-TI,MT-TI,HGNC:7488
ENSG00000210107,Mt_tRNA,MT-TQ,MT-TQ,HGNC:7495
ENSG00000210112,Mt_tRNA,MT-TM,MT-TM,HGNC:7492
ENSG00000198763,protein_coding,MT-ND2,MT-ND2,HGNC:7456
ENSG00000210117,Mt_tRNA,MT-TW,MT-TW,HGNC:7501
ENSG00000210127,Mt_tRNA,MT-TA,MT-TA,HGNC:7475
ENSG00000210135,Mt_tRNA,MT-TN,MT-TN,HGNC:7493
ENSG00000210140,Mt_tRNA,MT-TC,MT-TC,HGNC:7477
ENSG00000210144,Mt_tRNA,MT-TY,MT-TY,HGNC:7502
ENSG00000198804,protein_coding,MT-CO1,MT-CO1,HGNC:7419
ENSG00000210151,Mt_tRNA,MT-TS1,MT-TS1,HGNC:7497
ENSG00000210154,Mt_tRNA,MT-TD,MT-TD,HGNC:7478
ENSG00000198712,protein_coding,MT-CO2,MT-CO2,HGNC:7421
ENSG00000210156,Mt_tRNA,MT-TK,MT-TK,HGNC:7489
ENSG00000228253,protein_coding,MT-ATP8,MT-ATP8,HGNC:7415
ENSG00000198899,protein_coding,MT-ATP6,MT-ATP6,HGNC:7414
ENSG00000198938,protein_coding,MT-CO3,MT-CO3,HGNC:7422
ENSG00000210164,Mt_tRNA,MT-TG,MT-TG,HGNC:7486
ENSG00000198840,protein_coding,MT-ND3,MT-ND3,HGNC:7458
ENSG00000210174,Mt_tRNA,MT-TR,MT-TR,HGNC:7496
ENSG00000212907,protein_coding,MT-ND4L,MT-ND4L,HGNC:7460
ENSG00000198886,protein_coding,MT-ND4,MT-ND4,HGNC:7459
ENSG00000210176,Mt_tRNA,MT-TH,MT-TH,HGNC:7487
ENSG00000210184,Mt_tRNA,MT-TS2,MT-TS2,HGNC:7498
ENSG00000210191,Mt_tRNA,MT-TL2,MT-TL2,HGNC:7491
ENSG00000198786,protein_coding,MT-ND5,MT-ND5,HGNC:7461
ENSG00000198695,protein_coding,MT-ND6,MT-ND6,HGNC:7462
ENSG00000210194,Mt_tRNA,MT-TE,MT-TE,HGNC:7479
ENSG00000198727,protein_coding,MT-CYB,MT-CYB,HGNC:7427
ENSG00000210195,Mt_tRNA,MT-TT,MT-TT,HGNC:7499
ENSG00000210196,Mt_tRNA,MT-TP,MT-TP,HGNC:7494
ENSG00000278704,protein_coding,,,
ENSG00000262826,protein_coding,INTS3,INTS3,HGNC:26153
ENSG00000275151,processed_pseudogene,,,
ENSG00000275717,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000274714,polymorphic_pseudogene,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000276379,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000280538,lncRNA,,,
ENSG00000274324,polymorphic_pseudogene,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000271254,protein_coding,,,
ENSG00000275047,protein_coding,KIR2DS5,KIR2DS5,HGNC:6337
ENSG00000274861,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000273755,transcribed_unprocessed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000277355,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000276970,unprocessed_pseudogene,,,
ENSG00000274807,polymorphic_pseudogene,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000275751,transcribed_unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000276820,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000277921,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000277554,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000274826,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000276885,protein_coding,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000281806,lncRNA,,,
ENSG00000275442,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000279969,lncRNA,,,
ENSG00000276858,protein_coding,FCAR,FCAR,HGNC:3608
ENSG00000278306,protein_coding,KIR2DS3,KIR2DS3,HGNC:6335
ENSG00000274130,unprocessed_pseudogene,,,
ENSG00000277334,protein_coding,NCR1,NCR1,HGNC:6731
ENSG00000278074,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000275511,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000274882,lncRNA,LINC02109,LINC02109,HGNC:52964
ENSG00000277272,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000275407,protein_coding,KIR2DL2,KIR2DL2,HGNC:6330
ENSG00000281362,lncRNA,,,
ENSG00000275699,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000273947,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000275786,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000274339,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000278731,protein_coding,KIR2DL2,KIR2DL2,HGNC:6330
ENSG00000275732,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000278457,rRNA,5S_rRNA,,
ENSG00000273775,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000277484,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000278294,rRNA,5_8S_rRNA,,
ENSG00000278805,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000277620,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000276779,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000273575,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000277345,polymorphic_pseudogene,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000277995,snoRNA,,,
ENSG00000276424,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000275237,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000280663,protein_coding,PCMTD2,PCMTD2,HGNC:15882
ENSG00000275422,unprocessed_pseudogene,,,
ENSG00000273735,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000276423,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000275914,protein_coding,KIR2DL2,KIR2DL2,HGNC:6330
ENSG00000277185,unprocessed_pseudogene,,,
ENSG00000276433,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000277070,transcribed_unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000278207,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000276676,protein_coding,KIR2DS5,KIR2DS5,HGNC:6337
ENSG00000277742,unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000277376,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000277616,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000275938,unprocessed_pseudogene,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000276258,protein_coding,KIR2DS2,KIR2DS2,HGNC:6334
ENSG00000278786,transcribed_unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000277317,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000274948,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
