,gene_stable_id,gene_type,gene_name,hgnc_name,hgnc_id,hgnc_id_exists,panther_id,tigrfam_id,wikigene_name,gene_description,pid_suffix
5,ENSG00000198712,protein_coding,MT-CO2,MT-CO2,HGNC:7421,True,PTHR22888,TIGR02866,COX2,mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421],PTHR22888
7,ENSG00000198899,protein_coding,MT-ATP6,MT-ATP6,HGNC:7414,True,PTHR11410,TIGR01131,ATP6,mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414],PTHR11410
14,ENSG00000198886,protein_coding,MT-ND4,MT-ND4,HGNC:7459,True,PTHR43507:SF1,TIGR01972,ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459],SF1
15,ENSG00000198886,protein_coding,MT-ND4,MT-ND4,HGNC:7459,True,PTHR43507,TIGR01972,ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459],PTHR43507
16,ENSG00000198786,protein_coding,MT-ND5,MT-ND5,HGNC:7461,True,PTHR42829,TIGR01974,ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461],PTHR42829
17,ENSG00000198786,protein_coding,MT-ND5,MT-ND5,HGNC:7461,True,PTHR42829:SF2,TIGR01974,ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461],SF2
433,ENSG00000281775,protein_coding,FTCD,FTCD,HGNC:3974,True,PTHR12234:SF0,TIGR02024,FTCD,formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974],SF0
434,ENSG00000281775,protein_coding,FTCD,FTCD,HGNC:3974,True,PTHR12234,TIGR02024,FTCD,formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974],PTHR12234
474,ENSG00000281289,protein_coding,LSS,LSS,HGNC:6708,True,PTHR11764,TIGR01787,LSS,lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708],PTHR11764
475,ENSG00000281289,protein_coding,LSS,LSS,HGNC:6708,True,PTHR11764:SF20,TIGR01787,LSS,lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708],SF20
565,ENSG00000282752,protein_coding,CTDP1,CTDP1,HGNC:2498,True,PTHR23081,TIGR02250,CTDP1,CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498],PTHR23081
566,ENSG00000282752,protein_coding,CTDP1,CTDP1,HGNC:2498,True,PTHR23081:SF0,TIGR02250,CTDP1,CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498],SF0
742,ENSG00000276910,protein_coding,GTF2H2,GTF2H2,HGNC:4656,True,PTHR12695,TIGR00622,GTF2H2,general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656],PTHR12695
